 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
   26.8372    4.0000    9.8891    9.5225    4.3516    1.7588    3.9718    2.7403  1.0000E-10     -0.3205  2.7741E+01
   26.8654    4.0000    9.8891    9.5199    4.3535    1.7751    3.9641    2.7474  1.0000E-10     -0.3205  2.5598E+01
   26.8936    4.0000    9.8891    9.5173    4.3553    1.7937    3.9553    2.7545  1.0000E-10     -0.3205  2.3368E+01
   26.9217    4.0000    9.8891    9.5145    4.3572    1.8149    3.9451    2.7615  1.0000E-10     -0.3205  2.1088E+01
   26.9499    4.0000    9.8891    9.5116    4.3590    1.8387    3.9336    2.7686  1.0000E-10     -0.3205  1.8795E+01
   26.9781    4.0000    9.8891    9.5086    4.3607    1.8654    3.9207    2.7757  1.0000E-10     -0.3205  1.6531E+01
   27.0063    4.0000    9.8891    9.5053    4.3625    1.8952    3.9063    2.7827  1.0000E-10     -0.3205  1.4335E+01
   27.0344    4.0000    9.8891    9.5019    4.3642    1.9281    3.8903    2.7898  1.0000E-10     -0.3205  1.2244E+01
   27.0626    4.0000    9.8891    9.4983    4.3659    1.9643    3.8726    2.7969  1.0000E-10     -0.3205  1.0291E+01
   27.0908    4.0000    9.8891    9.4944    4.3676    2.0040    3.8532    2.8039  1.0000E-10     -0.3205  8.5035E+00
   27.1175    4.0000    9.8891    9.4903    4.3692    2.0451    3.8330    2.8106  1.0000E-10     -0.3205  6.9783E+00
   27.1422    4.0000    9.8891    9.4863    4.3706    2.0862    3.8128    2.8168  1.0000E-10     -0.3205  5.7209E+00
   27.1654    4.0000    9.8891    9.4822    4.3720    2.1274    3.7926    2.8226  1.0000E-10     -0.3205  4.6843E+00
   27.1871    4.0000    9.8891    9.4780    4.3732    2.1686    3.7723    2.8281  1.0000E-10     -0.3205  3.8301E+00
   27.2077    4.0000    9.8891    9.4737    4.3744    2.2100    3.7519    2.8333  1.0000E-10     -0.3205  3.1267E+00
   27.2273    4.0000    9.8891    9.4693    4.3755    2.2515    3.7314    2.8382  1.0000E-10     -0.3205  2.5480E+00
   27.2458    4.0000    9.8891    9.4648    4.3765    2.2926    3.7111    2.8428  1.0000E-10     -0.3205  2.0780E+00
   27.2634    4.0000    9.8891    9.4602    4.3775    2.3336    3.6908    2.8472  1.0000E-10     -0.3205  1.6923E+00
   27.2803    4.0000    9.8891    9.4553    4.3785    2.3747    3.6705    2.8515  1.0000E-10     -0.3205  1.3760E+00
   27.2965    4.0000    9.8891    9.4503    4.3794    2.4158    3.6502    2.8555  5.5460E-04     -0.3205  1.0872E+00
   27.3122    4.0000    9.8891    9.4450    4.3802    2.4569    3.6299    2.8595  3.9994E-02     -0.3205  6.6539E-01
   27.3273    4.0000    9.8891    9.4396    4.3810    2.4980    3.6095    2.8633  4.2251E-01     -0.3205  2.9509E-01
   27.3419    4.0000    9.8891    9.4338    4.3818    2.5391    3.5892    2.8669  2.2223E+00     -0.3205  1.1896E-01
   27.3535    5.0000    9.8891    9.4289    4.3825    2.5728    3.5725    2.8698  6.5591E+00     -0.3205  5.8324E-02
   27.3575    5.0000    9.8891    9.4271    4.3934    2.5807    3.5713    2.8698  6.5573E+00     -0.3205  5.5860E-02
   27.3613    5.0000    9.8891    9.4252    4.4044    2.5886    3.5701    2.8698  6.5554E+00     -0.3205  5.3486E-02
   27.3652    5.0000    9.8891    9.4234    4.4154    2.5965    3.5689    2.8698  6.5535E+00     -0.3205  5.1198E-02
   27.3689    5.0000    9.8891    9.4214    4.4263    2.6043    3.5677    2.8698  6.5516E+00     -0.3205  4.8993E-02
   27.3726    5.0000    9.8891    9.4194    4.4373    2.6122    3.5665    2.8698  6.5496E+00     -0.3205  4.6869E-02
   27.3761    5.0000    9.8891    9.4174    4.4483    2.6201    3.5653    2.8698  6.5475E+00     -0.3205  4.4822E-02
   27.3797    5.0000    9.8891    9.4153    4.4592    2.6280    3.5641    2.8698  6.5454E+00     -0.3205  4.2851E-02
   27.3831    5.0000    9.8891    9.4131    4.4702    2.6359    3.5629    2.8698  6.5433E+00     -0.3205  4.0952E-02
   27.3865    5.0000    9.8891    9.4109    4.4812    2.6438    3.5617    2.8698  6.5411E+00     -0.3205  3.9124E-02
   27.3898    5.0000    9.8891    9.4086    4.4921    2.6517    3.5605    2.8698  6.5388E+00     -0.3205  3.7364E-02
   27.3930    5.0000    9.8891    9.4063    4.5031    2.6596    3.5592    2.8698  6.5365E+00     -0.3205  3.5670E-02
   27.3962    5.0000    9.8891    9.4039    4.5141    2.6675    3.5580    2.8698  6.5341E+00     -0.3205  3.4040E-02
   27.3993    5.0000    9.8891    9.4015    4.5250    2.6754    3.5568    2.8698  6.5316E+00     -0.3205  3.2473E-02
   27.4024    5.0000    9.8891    9.3989    4.5360    2.6830    3.5558    2.8698  6.4566E+00     -0.3205  3.1206E-02
   27.4054    5.0000    9.8891    9.3964    4.5470    2.6903    3.5549    2.8698  6.3464E+00     -0.3205  3.0095E-02
   27.4083    5.0000    9.8891    9.3937    4.5579    2.6977    3.5539    2.8698  6.2377E+00     -0.3205  2.9013E-02
   27.4112    5.0000    9.8891    9.3910    4.5689    2.7051    3.5530    2.8698  6.1305E+00     -0.3205  2.7960E-02
   27.4140    5.0000    9.8891    9.3882    4.5799    2.7124    3.5520    2.8698  6.0248E+00     -0.3205  2.6935E-02
   27.4168    5.0000    9.8891    9.3854    4.5908    2.7198    3.5511    2.8698  5.9206E+00     -0.3205  2.5939E-02
   27.4195    5.0000    9.8891    9.3825    4.6018    2.7272    3.5501    2.8698  5.8179E+00     -0.3205  2.4970E-02
   27.4221    5.0000    9.8891    9.3795    4.6128    2.7346    3.5492    2.8698  5.7166E+00     -0.3205  2.4030E-02
   27.4247    5.0000    9.8891    9.3764    4.6238    2.7420    3.5482    2.8698  5.6167E+00     -0.3205  2.3116E-02
   27.4273    5.0000    9.8891    9.3732    4.6347    2.7494    3.5473    2.8698  5.5182E+00     -0.3205  2.2231E-02
   27.4298    5.0000    9.8891    9.3700    4.6457    2.7568    3.5463    2.8698  5.4211E+00     -0.3205  2.1372E-02
   27.4322    5.0000    9.8891    9.3667    4.6567    2.7642    3.5454    2.8698  5.3254E+00     -0.3205  2.0540E-02
   27.4346    5.0000    9.8891    9.3633    4.6676    2.7716    3.5444    2.8698  5.2311E+00     -0.3205  1.9735E-02
   27.4369    5.0000    9.8891    9.3598    4.6786    2.7790    3.5434    2.8698  5.1381E+00     -0.3205  1.8956E-02
   27.4392    5.0000    9.8891    9.3563    4.6896    2.7865    3.5424    2.8698  5.0689E+00     -0.3205  1.8147E-02
   27.4415    5.0000    9.8891    9.3526    4.7005    2.7945    3.5412    2.8698  5.0648E+00     -0.3205  1.7215E-02
   27.4437    5.0000    9.8891    9.3489    4.7115    2.8024    3.5399    2.8698  5.0607E+00     -0.3205  1.6327E-02
   27.4459    5.0000    9.8891    9.3450    4.7225    2.8104    3.5387    2.8698  5.0565E+00     -0.3205  1.5481E-02
   27.4480    5.0000    9.8891    9.3411    4.7334    2.8184    3.5374    2.8698  5.0522E+00     -0.3205  1.4676E-02
   27.4501    5.0000    9.8891    9.3370    4.7444    2.8264    3.5362    2.8698  5.0477E+00     -0.3205  1.3910E-02
   27.4521    5.0000    9.8891    9.3329    4.7554    2.8343    3.5349    2.8698  5.0432E+00     -0.3205  1.3182E-02
   27.4541    5.0000    9.8891    9.3286    4.7663    2.8423    3.5337    2.8698  5.0385E+00     -0.3205  1.2490E-02
   27.4561    5.0000    9.8891    9.3242    4.7773    2.8503    3.5324    2.8698  5.0337E+00     -0.3205  1.1833E-02
   27.4580    5.0000    9.8891    9.3197    4.7883    2.8583    3.5312    2.8698  5.0288E+00     -0.3205  1.1210E-02
   27.4599    5.0000    9.8891    9.3151    4.7992    2.8663    3.5299    2.8698  5.0238E+00     -0.3205  1.0618E-02
   27.4617    5.0000    9.8891    9.3104    4.8102    2.8743    3.5287    2.8698  5.0186E+00     -0.3205  1.0058E-02
   27.4622   13.0000    9.8891    1.3693    0.3925   -4.8539    6.2883    1.3693  1.0000E-10     27.4622  2.0000E+08
   27.5622   13.0000    9.8891    1.3693    0.3925   -4.8539    6.2883    1.3693  1.0000E-10     27.4622  2.0000E+08
   28.5622   13.0000    9.8891    1.3693   -1.6903   -4.8539    5.7676    1.3693  1.0000E-10     27.4622  2.0000E+08
   38.5622   13.0000    9.8891    1.3693   -3.6982   -4.8539    5.2657    1.3693  1.0000E-10     27.4622  2.0000E+08
  138.5622   13.0000    9.8891    1.3693   -5.6989   -4.8539    4.7655    1.3693  1.0000E-10     27.4622  2.0000E+08
  638.5622   13.0000    9.8891    1.3693   -7.1797   -4.8539    4.3953    1.3693  1.0000E-10     27.4622  2.0000E+08
 1138.5621   13.0000    9.8891    1.3693   -7.6990   -4.8539    4.2655    1.3693  1.0000E-10     27.4622  2.0000E+08
 1638.5621   13.0000    9.8891    1.3693   -8.0218   -4.8539    4.1848    1.3693  1.0000E-10     27.4622  2.0000E+08
 2138.5623   13.0000    9.8891    1.3693   -8.2565   -4.8539    4.1261    1.3693  1.0000E-10     27.4622  2.0000E+08
 2638.5623   13.0000    9.8891    1.3693   -8.4412   -4.8539    4.0799    1.3693  1.0000E-10     27.4622  2.0000E+08
 3138.5623   13.0000    9.8891    1.3693   -8.5933   -4.8539    4.0419    1.3693  1.0000E-10     27.4622  2.0000E+08
 3638.5623   13.0000    9.8891    1.3693   -8.7228   -4.8539    4.0095    1.3693  1.0000E-10     27.4622  2.0000E+08
 4138.5620   13.0000    9.8891    1.3693   -8.8354   -4.8539    3.9813    1.3693  1.0000E-10     27.4622  2.0000E+08
 4638.5620   13.0000    9.8891    1.3693   -8.9351   -4.8539    3.9564    1.3693  1.0000E-10     27.4622  2.0000E+08
 5138.5620   13.0000    9.8891    1.3693   -9.0245   -4.8539    3.9341    1.3693  1.0000E-10     27.4622  2.0000E+08
 5638.5620   13.0000    9.8891    1.3693   -9.1056   -4.8539    3.9138    1.3693  1.0000E-10     27.4622  2.0000E+08
 6138.5620   13.0000    9.8891    1.3693   -9.1798   -4.8539    3.8953    1.3693  1.0000E-10     27.4622  2.0000E+08
 6638.5620   13.0000    9.8891    1.3693   -9.2481   -4.8539    3.8782    1.3693  1.0000E-10     27.4622  2.0000E+08
 7138.5620   13.0000    9.8891    1.3693   -9.3114   -4.8539    3.8624    1.3693  1.0000E-10     27.4622  2.0000E+08
 7638.5620   13.0000    9.8891    1.3693   -9.3704   -4.8539    3.8476    1.3693  1.0000E-10     27.4622  2.0000E+08
 8138.5620   13.0000    9.8891    1.3693   -9.4257   -4.8539    3.8338    1.3693  1.0000E-10     27.4622  2.0000E+08
 8638.5625   13.0000    9.8891    1.3693   -9.4776   -4.8539    3.8208    1.3693  1.0000E-10     27.4622  2.0000E+08
 9138.5625   13.0000    9.8891    1.3693   -9.5267   -4.8539    3.8085    1.3693  1.0000E-10     27.4622  2.0000E+08
 9638.5625   13.0000    9.8891    1.3693   -9.5731   -4.8539    3.7969    1.3693  1.0000E-10     27.4622  2.0000E+08
10138.5625   13.0000    9.8891    1.3693   -9.6171   -4.8539    3.7859    1.3693  1.0000E-10     27.4622  2.0000E+08
10638.5625   13.0000    9.8891    1.3693   -9.6590   -4.8539    3.7754    1.3693  1.0000E-10     27.4622  2.0000E+08
11138.5625   13.0000    9.8891    1.3693   -9.6990   -4.8539    3.7654    1.3693  1.0000E-10     27.4622  2.0000E+08
11638.5625   13.0000    9.8891    1.3693   -9.7373   -4.8539    3.7559    1.3693  1.0000E-10     27.4622  2.0000E+08
12000.0000   13.0000    9.8891    1.3693   -9.7639   -4.8539    3.7492    1.3693  1.0000E-10     27.4622  2.0000E+08
   -1.0000   13.0000    9.8891    1.3693   -9.7639   -4.8539    3.7492    1.3693  1.0000E-10     27.4622  2.0000E+08
