 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
   24.5147    2.0000    9.8899    9.8899    4.0152    2.0366    3.7488    2.1553  1.0000E-10     -0.3168  1.4733E+01
   24.5167    2.0000    9.8898    9.8898    4.0070    2.0776    3.7262    2.1566  1.0000E-10     -0.3173  1.2335E+01
   24.5187    2.0000    9.8897    9.8897    3.9989    2.1186    3.7037    2.1579  5.4348E-09     -0.3179  1.0324E+01
   24.5207    2.0000    9.8895    9.8895    3.9907    2.1596    3.6812    2.1592  3.4116E-03     -0.3185  7.9457E+00
   24.5227    2.0000    9.8894    9.8894    3.9825    2.2006    3.6586    2.1605  1.0389E-01     -0.3191  4.2866E+00
   24.5247    2.0000    9.8893    9.8893    3.9744    2.2416    3.6361    2.1618  8.4666E-01     -0.3198  1.7546E+00
   24.5267    2.0000    9.8891    9.8891    3.9663    2.2819    3.6139    2.1630  3.8628E+00     -0.3205  7.0912E-01
   24.5267    3.0000    9.8891    9.8891    3.9664    2.2819    3.6139    2.1630  3.8638E+00     -0.3205  7.0890E-01
   24.5269    3.0000    9.8891    9.8891    3.9719    2.2859    3.6133    2.1630  3.9234E+00     -0.3205  6.9456E-01
   24.5270    3.0000    9.8891    9.8891    3.9773    2.2898    3.6127    2.1630  3.9832E+00     -0.3205  6.8052E-01
   24.5272    3.0000    9.8891    9.8891    3.9828    2.2938    3.6121    2.1630  4.0433E+00     -0.3205  6.6678E-01
   24.5274    3.0000    9.8891    9.8890    3.9882    2.2977    3.6115    2.1630  4.1036E+00     -0.3205  6.5333E-01
   24.5275    3.0000    9.8891    9.8890    3.9937    2.3016    3.6109    2.1630  4.1642E+00     -0.3205  6.4016E-01
   24.5277    3.0000    9.8891    9.8890    3.9991    2.3056    3.6103    2.1630  4.2251E+00     -0.3205  6.2727E-01
   24.5279    3.0000    9.8891    9.8890    4.0046    2.3095    3.6096    2.1630  4.2862E+00     -0.3205  6.1465E-01
   24.5280    3.0000    9.8891    9.8890    4.0101    2.3135    3.6090    2.1630  4.3475E+00     -0.3205  6.0229E-01
   24.5282    3.0000    9.8891    9.8890    4.0155    2.3174    3.6084    2.1630  4.4090E+00     -0.3205  5.9020E-01
   24.5284    3.0000    9.8891    9.8890    4.0210    2.3214    3.6078    2.1631  4.4707E+00     -0.3205  5.7835E-01
   24.5285    3.0000    9.8891    9.8889    4.0264    2.3253    3.6072    2.1631  4.5326E+00     -0.3205  5.6675E-01
   24.5287    3.0000    9.8891    9.8889    4.0319    2.3293    3.6066    2.1631  4.5947E+00     -0.3205  5.5539E-01
   24.5288    3.0000    9.8891    9.8889    4.0373    2.3332    3.6060    2.1631  4.6570E+00     -0.3205  5.4427E-01
   24.5290    3.0000    9.8891    9.8889    4.0428    2.3372    3.6054    2.1631  4.7194E+00     -0.3205  5.3338E-01
   24.5292    3.0000    9.8891    9.8889    4.0482    2.3411    3.6048    2.1631  4.7819E+00     -0.3205  5.2271E-01
   24.5293    3.0000    9.8891    9.8889    4.0537    2.3451    3.6041    2.1631  4.8446E+00     -0.3205  5.1226E-01
   24.5295    3.0000    9.8891    9.8888    4.0592    2.3491    3.6035    2.1631  4.9073E+00     -0.3205  5.0203E-01
   24.5296    3.0000    9.8891    9.8888    4.0646    2.3530    3.6029    2.1631  4.9702E+00     -0.3205  4.9201E-01
   24.5298    3.0000    9.8891    9.8888    4.0701    2.3570    3.6023    2.1631  5.0331E+00     -0.3205  4.8219E-01
   24.5299    3.0000    9.8891    9.8888    4.0755    2.3609    3.6017    2.1631  5.0961E+00     -0.3205  4.7257E-01
   24.5301    3.0000    9.8891    9.8888    4.0810    2.3649    3.6011    2.1631  5.1591E+00     -0.3205  4.6315E-01
   24.5302    3.0000    9.8891    9.8887    4.0864    2.3688    3.6005    2.1631  5.2221E+00     -0.3205  4.5392E-01
   24.5303    3.0000    9.8891    9.8887    4.0919    2.3728    3.5998    2.1631  5.2851E+00     -0.3205  4.4488E-01
   24.5305    3.0000    9.8891    9.8887    4.0974    2.3768    3.5992    2.1631  5.3481E+00     -0.3205  4.3602E-01
   24.5306    3.0000    9.8891    9.8887    4.1028    2.3807    3.5986    2.1631  5.4111E+00     -0.3205  4.2734E-01
   24.5308    3.0000    9.8891    9.8887    4.1083    2.3847    3.5980    2.1631  5.4740E+00     -0.3205  4.1884E-01
   24.5309    3.0000    9.8891    9.8886    4.1137    2.3886    3.5974    2.1631  5.5368E+00     -0.3205  4.1051E-01
   24.5310    3.0000    9.8891    9.8886    4.1192    2.3926    3.5968    2.1631  5.5995E+00     -0.3205  4.0234E-01
   24.5312    3.0000    9.8891    9.8886    4.1246    2.3966    3.5961    2.1631  5.6620E+00     -0.3205  3.9434E-01
   24.5313    3.0000    9.8891    9.8886    4.1301    2.4005    3.5955    2.1631  5.7244E+00     -0.3205  3.8650E-01
   24.5314    3.0000    9.8891    9.8886    4.1355    2.4045    3.5949    2.1631  5.7866E+00     -0.3205  3.7881E-01
   24.5316    3.0000    9.8891    9.8885    4.1410    2.4085    3.5943    2.1631  5.8486E+00     -0.3205  3.7128E-01
   24.5317    3.0000    9.8891    9.8885    4.1465    2.4124    3.5937    2.1631  5.9104E+00     -0.3205  3.6389E-01
   24.5318    3.0000    9.8891    9.8885    4.1519    2.4164    3.5931    2.1631  5.9718E+00     -0.3205  3.5666E-01
   24.5319    3.0000    9.8891    9.8885    4.1574    2.4204    3.5924    2.1631  6.0330E+00     -0.3205  3.4956E-01
   24.5321    3.0000    9.8891    9.8885    4.1628    2.4243    3.5918    2.1631  6.0939E+00     -0.3205  3.4261E-01
   24.5322    3.0000    9.8891    9.8884    4.1683    2.4283    3.5912    2.1631  6.1543E+00     -0.3205  3.3579E-01
   24.5323    3.0000    9.8891    9.8884    4.1737    2.4323    3.5906    2.1631  6.2144E+00     -0.3205  3.2911E-01
   24.5324    3.0000    9.8891    9.8884    4.1792    2.4362    3.5900    2.1631  6.2740E+00     -0.3205  3.2256E-01
   24.5326    3.0000    9.8891    9.8884    4.1846    2.4402    3.5893    2.1631  6.3332E+00     -0.3205  3.1614E-01
   24.5327    3.0000    9.8891    9.8883    4.1901    2.4442    3.5887    2.1631  6.3918E+00     -0.3205  3.0984E-01
   24.5328    3.0000    9.8891    9.8883    4.1956    2.4481    3.5881    2.1631  6.4500E+00     -0.3205  3.0366E-01
   24.5329    3.0000    9.8891    9.8883    4.2010    2.4521    3.5875    2.1632  6.5075E+00     -0.3205  2.9761E-01
   24.5330    3.0000    9.8891    9.8883    4.2065    2.4561    3.5868    2.1632  6.5644E+00     -0.3205  2.9167E-01
   24.5331    3.0000    9.8891    9.8882    4.2119    2.4601    3.5862    2.1632  6.6206E+00     -0.3205  2.8585E-01
   24.5332    3.0000    9.8891    9.8882    4.2174    2.4640    3.5856    2.1632  6.6761E+00     -0.3205  2.8014E-01
   24.5334    3.0000    9.8891    9.8882    4.2228    2.4680    3.5850    2.1632  6.7309E+00     -0.3205  2.7454E-01
   24.5335    3.0000    9.8891    9.8882    4.2283    2.4720    3.5844    2.1632  6.7848E+00     -0.3205  2.6905E-01
   24.5336    3.0000    9.8891    9.8881    4.2338    2.4760    3.5837    2.1632  6.8379E+00     -0.3205  2.6366E-01
   24.5337    3.0000    9.8891    9.8881    4.2392    2.4799    3.5831    2.1632  6.8901E+00     -0.3205  2.5837E-01
   24.5338    3.0000    9.8891    9.8881    4.2447    2.4839    3.5825    2.1632  6.9414E+00     -0.3205  2.5319E-01
   24.5339    3.0000    9.8891    9.8880    4.2501    2.4879    3.5819    2.1632  6.9916E+00     -0.3205  2.4811E-01
   24.5340    3.0000    9.8891    9.8880    4.2556    2.4919    3.5812    2.1632  7.0407E+00     -0.3205  2.4312E-01
   24.5341    3.0000    9.8891    9.8880    4.2610    2.4958    3.5806    2.1632  7.0888E+00     -0.3205  2.3823E-01
   24.5342    3.0000    9.8891    9.8880    4.2665    2.4998    3.5800    2.1632  7.1357E+00     -0.3205  2.3343E-01
   24.5343    3.0000    9.8891    9.8879    4.2719    2.5038    3.5794    2.1632  7.1813E+00     -0.3205  2.2872E-01
   24.5344    3.0000    9.8891    9.8879    4.2774    2.5078    3.5787    2.1632  7.2256E+00     -0.3205  2.2410E-01
   24.5345    3.0000    9.8891    9.8879    4.2829    2.5118    3.5781    2.1632  7.2686E+00     -0.3205  2.1957E-01
   24.5346    3.0000    9.8891    9.8878    4.2883    2.5157    3.5775    2.1632  7.3101E+00     -0.3205  2.1512E-01
   24.5347    3.0000    9.8891    9.8878    4.2938    2.5197    3.5768    2.1632  7.3502E+00     -0.3205  2.1076E-01
   24.5348    3.0000    9.8891    9.8878    4.2992    2.5237    3.5762    2.1632  7.3886E+00     -0.3205  2.0647E-01
   24.5349    3.0000    9.8891    9.8877    4.3047    2.5277    3.5756    2.1632  7.4255E+00     -0.3205  2.0227E-01
   24.5350    3.0000    9.8891    9.8877    4.3101    2.5317    3.5750    2.1632  7.4606E+00     -0.3205  1.9815E-01
   24.5351    3.0000    9.8891    9.8877    4.3156    2.5357    3.5743    2.1632  7.4939E+00     -0.3205  1.9410E-01
   24.5352    3.0000    9.8891    9.8877    4.3210    2.5397    3.5737    2.1632  7.5253E+00     -0.3205  1.9013E-01
   24.5353    3.0000    9.8891    9.8876    4.3265    2.5436    3.5731    2.1632  7.5548E+00     -0.3205  1.8623E-01
   24.5354    3.0000    9.8891    9.8876    4.3320    2.5476    3.5724    2.1632  7.5823E+00     -0.3205  1.8241E-01
   24.5355    3.0000    9.8891    9.8876    4.3374    2.5516    3.5718    2.1632  7.6076E+00     -0.3205  1.7866E-01
   24.5356    3.0000    9.8891    9.8875    4.3429    2.5556    3.5712    2.1632  7.6307E+00     -0.3205  1.7497E-01
   24.5356    3.0000    9.8891    9.8875    4.3483    2.5596    3.5706    2.1632  7.6515E+00     -0.3205  1.7136E-01
   24.5357    3.0000    9.8891    9.8874    4.3538    2.5636    3.5699    2.1632  7.6699E+00     -0.3205  1.6781E-01
   24.5358    3.0000    9.8891    9.8874    4.3592    2.5676    3.5693    2.1632  7.6858E+00     -0.3205  1.6432E-01
   24.5359    3.0000    9.8891    9.8874    4.3647    2.5716    3.5687    2.1632  7.6990E+00     -0.3205  1.6090E-01
   24.5360    3.0000    9.8891    9.8873    4.3702    2.5755    3.5680    2.1632  7.7096E+00     -0.3205  1.5755E-01
   24.5361    3.0000    9.8891    9.8873    4.3756    2.5795    3.5674    2.1632  7.7174E+00     -0.3205  1.5425E-01
   24.5362    3.0000    9.8891    9.8873    4.3811    2.5835    3.5668    2.1632  7.7222E+00     -0.3205  1.5102E-01
   24.5362    3.0000    9.8891    9.8872    4.3865    2.5875    3.5661    2.1632  7.7240E+00     -0.3205  1.4785E-01
   24.5362    4.0000    9.8891    9.8872    4.3870    2.5879    3.5661    2.1632  7.7240E+00     -0.3205  1.4758E-01
   24.5644    4.0000    9.8891    9.8738    4.3685    2.5745    3.5681    2.1703  7.7035E+00     -0.3205  1.5755E-01
   24.5926    4.0000    9.8891    9.8614    4.3509    2.5619    3.5700    2.1774  7.6841E+00     -0.3205  1.6754E-01
   24.6208    4.0000    9.8891    9.8499    4.3343    2.5500    3.5718    2.1844  7.6655E+00     -0.3205  1.7750E-01
   24.6489    4.0000    9.8891    9.8391    4.3186    2.5388    3.5736    2.1915  7.6477E+00     -0.3205  1.8741E-01
   24.6771    4.0000    9.8891    9.8291    4.3039    2.5281    3.5752    2.1986  7.6305E+00     -0.3205  1.9720E-01
   24.7053    4.0000    9.8891    9.8196    4.2900    2.5182    3.5767    2.2056  7.6140E+00     -0.3205  2.0684E-01
   24.7335    4.0000    9.8891    9.8107    4.2769    2.5088    3.5781    2.2127  7.5980E+00     -0.3205  2.1628E-01
   24.7616    4.0000    9.8891    9.8023    4.2647    2.5000    3.5794    2.2198  7.5825E+00     -0.3205  2.2548E-01
   24.7898    4.0000    9.8891    9.7943    4.2532    2.4918    3.5807    2.2268  7.5675E+00     -0.3205  2.3440E-01
   24.8180    4.0000    9.8891    9.7866    4.2425    2.4841    3.5818    2.2339  7.5528E+00     -0.3205  2.4301E-01
   24.8461    4.0000    9.8891    9.7793    4.2326    2.4770    3.5829    2.2409  7.5384E+00     -0.3205  2.5128E-01
   24.8743    4.0000    9.8891    9.7723    4.2233    2.4704    3.5839    2.2480  7.5243E+00     -0.3205  2.5916E-01
   24.9025    4.0000    9.8891    9.7656    4.2148    2.4643    3.5848    2.2551  7.5105E+00     -0.3205  2.6664E-01
   24.9307    4.0000    9.8891    9.7591    4.2069    2.4587    3.5856    2.2621  7.4969E+00     -0.3205  2.7370E-01
   24.9588    4.0000    9.8891    9.7528    4.1996    2.4535    3.5864    2.2692  7.4836E+00     -0.3205  2.8031E-01
   24.9870    4.0000    9.8891    9.7467    4.1930    2.4488    3.5871    2.2763  7.4704E+00     -0.3205  2.8647E-01
   25.0152    4.0000    9.8891    9.7408    4.1869    2.4445    3.5878    2.2833  7.4574E+00     -0.3205  2.9215E-01
   25.0433    4.0000    9.8891    9.7350    4.1814    2.4406    3.5883    2.2904  7.4446E+00     -0.3205  2.9737E-01
